page_index,source_url,requested_url,result_count,screened_cards,eligible_items_added_total,min_year_on_page,max_year_on_page,content_type
42,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=42&error=cookies_not_supported&code=46861ae9-a9f6-4c4e-a86a-aba887b8c0f5,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=42,20,20,332,2024,2024,"text/html; charset=""UTF-8"""
43,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=43&error=cookies_not_supported&code=a146fb05-f847-484d-a15e-50f0276d01b3,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=43,20,20,343,2023,2024,"text/html; charset=""UTF-8"""
44,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=44&error=cookies_not_supported&code=f59a591a-8611-4a23-ba75-5f241ead6a70,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=44,20,20,355,2023,2023,"text/html; charset=""UTF-8"""
45,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=45&error=cookies_not_supported&code=0dfad9cd-fb6a-46bb-a3bd-97cf0e53861a,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=45,20,20,364,2023,2023,"text/html; charset=""UTF-8"""
46,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=46&error=cookies_not_supported&code=d8ff8274-b4ab-4507-a2be-cbdeeb7f89d9,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=46,20,20,379,2023,2023,"text/html; charset=""UTF-8"""
47,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=47&error=cookies_not_supported&code=3114275a-edda-4311-8a04-a7f23101bfc6,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=47,20,20,392,2023,2023,"text/html; charset=""UTF-8"""
48,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=48&error=cookies_not_supported&code=bf453400-47eb-4de2-a63b-8093a5da530c,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=48,20,20,399,2023,2023,"text/html; charset=""UTF-8"""
49,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=49&error=cookies_not_supported&code=26affbb3-38cc-4904-b101-46abcbdb28ea,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=49,20,20,406,2023,2023,"text/html; charset=""UTF-8"""
50,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=50&error=cookies_not_supported&code=af60754b-3087-4cb1-97fa-1d227e0df19a,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=50,20,20,416,2023,2023,"text/html; charset=""UTF-8"""
51,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=51&error=cookies_not_supported&code=db061066-ff5f-4e9e-bbe0-b6f146b57260,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=51,20,20,427,2023,2023,"text/html; charset=""UTF-8"""
