source,page_index,archive_url,status_code,content_type,n_results,request_time
Journal of Cosmology and Astroparticle Physics,22,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDEzNTA0MDAwMDAwLCAxMDAuMCwgNTcsICdodHRwczovL29wZW5hbGV4Lm9yZy9XMTk5OTY0ODExNCddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:00.468291+00:00
Journal of Cosmology and Astroparticle Physics,23,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDIzNTI2NDAwMDAwLCA5OC4wLCAxNCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDI4MzIzMDgxJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:02.022471+00:00
Journal of Cosmology and Astroparticle Physics,24,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDMyNjg0ODAwMDAwLCA5Ni4wLCA0LCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzIxMjAzMTM4MDEnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:03.541430+00:00
Journal of Cosmology and Astroparticle Physics,25,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDQxNzU2ODAwMDAwLCA5OS4wLCAxMywgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTY4NzAyODA0J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:05.132284+00:00
Journal of Cosmology and Astroparticle Physics,26,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDQ5NzA1NjAwMDAwLCA5OS4wLCAyMSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTcyMTQxNjUyJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:06.736913+00:00
Journal of Cosmology and Astroparticle Physics,27,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDU4NjA0ODAwMDAwLCA5OS4wLCAxOCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMjU5MjkyODEzJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:08.425608+00:00
Journal of Cosmology and Astroparticle Physics,28,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDY2OTg1NjAwMDAwLCA5OS4wLCAyNSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMjk1MDkxNTYyJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:10.063131+00:00
Journal of Cosmology and Astroparticle Physics,29,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDc2MDU3NjAwMDAwLCA5OC4wLCAxNywgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyNDkxNzM0NDk1J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:11.676308+00:00
Journal of Cosmology and Astroparticle Physics,30,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDg1OTA3MjAwMDAwLCA5OC4wLCAyNiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMjM0MTQ1MDg1J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:13.581988+00:00
Journal of Cosmology and Astroparticle Physics,31,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDk1MDY1NjAwMDAwLCAxMDAuMCwgMTI0LCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzI1NjQ0NDIyNjEnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:15.260798+00:00
Journal of Cosmology and Astroparticle Physics,32,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNTA1Nzc5MjAwMDAwLCA5OS4wLCA2OSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyNTkzODIzNTE1J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:16.879538+00:00
Journal of Cosmology and Astroparticle Physics,33,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNTE2MDYwODAwMDAwLCA5OS4wLCAzOCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyNjIzMjczNTc1J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:18.897499+00:00
Journal of Cosmology and Astroparticle Physics,34,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNTI0NzAwODAwMDAwLCA5OS4wLCA0MCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyNzg4MzcwNDI3J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:20.689377+00:00
Journal of Cosmology and Astroparticle Physics,35,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNTMzMDgxNjAwMDAwLCA5OS4wLCAyMiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyNzk0Nzc2MTIxJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:22.339150+00:00
Journal of Cosmology and Astroparticle Physics,36,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNTQzNDQ5NjAwMDAwLCA5OS4wLCAzMSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyODEwOTgyODk3J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:52:23.999511+00:00
