source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
eLife,elife_1991_v11,journal_volume_or_batch,1991,1991-12-01,vol. 11,https://stacks.cdc.gov/view/cdc/10043/cdc_10043_DS1.pdf,1
eLife,elife_1991_v12,journal_volume_or_batch,1991,1991-01-01,vol. 12,https://espace.library.uq.edu.au/view/UQ:218794,1
eLife,elife_1991_v5,journal_volume_or_batch,1991,1991-04-01,vol. 5,http://www.osti.gov/scitech/biblio/5464078,1
eLife,elife_1991_v9,journal_volume_or_batch,1991,1991-01-01,vol. 9,https://doi.org/10.7554/elife.53169,1
eLife,elife_1994_v11,journal_volume_or_batch,1994,1994-10-01,vol. 11,http://www.osti.gov/scitech/biblio/6612517-drawing-industrial-customers,1
eLife,elife_1994_v6,journal_volume_or_batch,1994,1994-01-01,vol. 6,https://dialnet.unirioja.es/servlet/tesis?codigo=179610,1
eLife,elife_1994_v9,journal_volume_or_batch,1994,1994-01-01,vol. 9,https://dialnet.unirioja.es/servlet/libro?codigo=187364,1
eLife,elife_1995_v10,journal_volume_or_batch,1995,1995-01-01,vol. 10,https://trid.trb.org/view/467403,1
eLife,elife_1995_v23_i4,journal_issue,1995,1995-12-01,"vol. 23, issue 4",http://files.eric.ed.gov/fulltext/ED398828.pdf,1
eLife,elife_1995_v7,journal_volume_or_batch,1995,1995-01-01,vol. 7,https://dialnet.unirioja.es/servlet/libro?codigo=90457,1
eLife,elife_1996_v10,journal_volume_or_batch,1996,1996-01-01,vol. 10,https://scholar.uwindsor.ca/cgi/viewcontent.cgi?article=4817&context=etd,1
eLife,elife_1997_v11_i10,journal_issue,1997,1997-01-01,"vol. 11, issue 10",https://accedacris.ulpgc.es/handle/10553/8290,1
eLife,elife_1997_v5,journal_volume_or_batch,1997,1997-01-01,vol. 5,https://dialnet.unirioja.es/servlet/libro?codigo=438351,2
eLife,elife_1998_v11,journal_volume_or_batch,1998,1998-01-01,vol. 11,http://arizona.openrepository.com/arizona/handle/10150/282796,1
eLife,elife_1998_v12,journal_volume_or_batch,1998,1998-10-15,vol. 12,https://parenthood.library.wisc.edu/Westman/Westman-Intro.html,1
eLife,elife_1998_v8,journal_volume_or_batch,1998,1998-01-01,vol. 8,https://dialnet.unirioja.es/servlet/libro?codigo=75337,1
eLife,elife_1998_v9,journal_volume_or_batch,1998,1998-01-01,vol. 9,https://repository.ugm.ac.id/42937/,1
