source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
The European Physical Journal C,epj_c_1983_v17_i4,journal_issue,1983,1983-12-01,"vol. 17, issue 4",https://doi.org/10.1007/bf01571895,11
The European Physical Journal C,epj_c_1983_v18_i1,journal_issue,1983,1983-03-01,"vol. 18, issue 1",https://doi.org/10.1007/bf01571710,17
The European Physical Journal C,epj_c_1983_v18_i2,journal_issue,1983,1983-06-01,"vol. 18, issue 2",https://doi.org/10.1007/bf01572477,17
The European Physical Journal C,epj_c_1983_v18_i3,journal_issue,1983,1983-09-01,"vol. 18, issue 3",https://doi.org/10.1007/bf01571364,13
The European Physical Journal C,epj_c_1983_v18_i4,journal_issue,1983,1983-12-01,"vol. 18, issue 4",https://doi.org/10.1007/bf01573728,12
The European Physical Journal C,epj_c_1983_v19_i1,journal_issue,1983,1983-03-01,"vol. 19, issue 1",https://doi.org/10.1007/bf01572332,14
The European Physical Journal C,epj_c_1983_v19_i2,journal_issue,1983,1983-06-01,"vol. 19, issue 2",https://doi.org/10.1007/bf01571777,15
The European Physical Journal C,epj_c_1983_v19_i3,journal_issue,1983,1983-09-01,"vol. 19, issue 3",https://doi.org/10.1007/bf01572254,11
The European Physical Journal C,epj_c_1983_v19_i4,journal_issue,1983,1983-12-01,"vol. 19, issue 4",https://doi.org/10.1007/bf01577186,10
The European Physical Journal C,epj_c_1983_v20_i1,journal_issue,1983,1983-03-01,"vol. 20, issue 1",https://doi.org/10.1007/bf01577720,12
The European Physical Journal C,epj_c_1983_v20_i2,journal_issue,1983,1983-06-01,"vol. 20, issue 2",https://doi.org/10.1007/bf01573213,13
The European Physical Journal C,epj_c_1983_v20_i3,journal_issue,1983,1983-09-01,"vol. 20, issue 3",https://doi.org/10.1007/bf01574858,13
The European Physical Journal C,epj_c_1983_v20_i4,journal_issue,1983,1983-12-01,"vol. 20, issue 4",https://doi.org/10.1007/bf01407824,13
The European Physical Journal C,epj_c_1983_v21_i1_2,journal_issue,1983,1983-03-01,"vol. 21, issue 1-2",https://doi.org/10.1007/bf01648774,24
The European Physical Journal C,epj_c_1984_v21_i3,journal_issue,1984,1984-09-01,"vol. 21, issue 3",https://doi.org/10.1007/bf01577042,16
The European Physical Journal C,epj_c_1984_v21_i4,journal_issue,1984,1984-12-01,"vol. 21, issue 4",https://doi.org/10.1007/bf01581603,16
The European Physical Journal C,epj_c_1984_v22_i1,journal_issue,1984,1984-03-01,"vol. 22, issue 1",https://doi.org/10.1007/bf01577564,15
The European Physical Journal C,epj_c_1984_v22_i2,journal_issue,1984,1984-06-01,"vol. 22, issue 2",https://doi.org/10.1007/bf01572165,19
The European Physical Journal C,epj_c_1984_v22_i3,journal_issue,1984,1984-09-01,"vol. 22, issue 3",https://doi.org/10.1007/bf01575793,15
The European Physical Journal C,epj_c_1984_v22_i4,journal_issue,1984,1984-12-01,"vol. 22, issue 4",https://doi.org/10.1007/bf01547419,13
The European Physical Journal C,epj_c_1984_v23_i1,journal_issue,1984,1984-03-01,"vol. 23, issue 1",https://doi.org/10.1007/bf01558041,12
The European Physical Journal C,epj_c_1984_v23_i2,journal_issue,1984,1984-06-01,"vol. 23, issue 2",https://doi.org/10.1007/bf01557591,13
The European Physical Journal C,epj_c_1984_v23_i3,journal_issue,1984,1984-09-01,"vol. 23, issue 3",https://doi.org/10.1007/bf01546194,14
The European Physical Journal C,epj_c_1984_v23_i4,journal_issue,1984,1984-12-01,"vol. 23, issue 4",https://doi.org/10.1007/bf01572659,11
The European Physical Journal C,epj_c_1984_v24,journal_volume_or_batch,1984,1984-01-01,vol. 24,https://www.research.ed.ac.uk/portal/en/publications/experimentalstudy-of-the-photon-structurefunction-f2-at-q2-from-10-to-220-gev2(b775429b-4e6d-49d1-824d-8d10edf49046).html,1
The European Physical Journal C,epj_c_1984_v24_i1,journal_issue,1984,1984-03-01,"vol. 24, issue 1",https://doi.org/10.1007/bf01576294,14
The European Physical Journal C,epj_c_1984_v24_i2,journal_issue,1984,1984-06-01,"vol. 24, issue 2",https://doi.org/10.1007/bf01571719,13
